Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-11-22,Utah Jazz,,Brandon Rush,placed on IL,65.0,0.0,regular,2013,14.0,False,roaster move,healthy inactive
2013-11-22,Atlanta Hawks,,Louis Williams,placed on IL,68.0,0.0,regular,2013,13.0,False,roaster move,healthy inactive
2013-11-22,Charlotte Bobcats,,James Southerland,placed on IL,65.0,0.0,regular,2013,13.0,False,roaster move,healthy inactive
2013-11-22,Cleveland Cavaliers,,Henry Sims,placed on IL,65.0,0.0,regular,2013,13.0,False,roaster move,healthy inactive
2013-11-22,Cleveland Cavaliers,,CJ Miles,placed on IL with right calf injury,65.0,0.0,regular,2013,13.0,False,calf,lower leg
2013-11-22,Portland Trailblazers,,Victor Claver,placed on IL,,,,,,,roaster move,healthy inactive
2013-11-23,Golden State Warriors,,Andre Iguodala,placed on IL with strained left hamstring,56.0,0.0,regular,2013,14.0,False,hamstring,upper leg
2013-11-23,San Antonio Spurs,,Boris Diaw,placed on IL with rib injury,68.0,0.0,regular,2013,13.0,False,ribs,torso
2013-11-23,Miami Heat,,Roger Mason,placed on IL,64.0,0.0,regular,2013,13.0,False,roaster move,healthy inactive
2013-11-23,Atlanta Hawks,,Elton Brand,placed on IL,66.0,0.0,regular,2013,14.0,False,roaster move,healthy inactive
2013-11-23,Orlando Magic,,Tobias Harris,placed on IL with sprained left ankle,69.0,0.0,regular,2013,12.0,False,ankle,lower leg
2013-11-24,Oklahoma City Thunder,,Russell Westbrook,placed on IL with knee injury,69.0,0.0,regular,2013,12.0,False,knee,knee
2013-11-24,Chicago Bulls,,Derrick Rose,placed on IL with torn meniscus in right knee (out for season),74.0,0.0,regular,2013,12.0,False,knee,knee
2013-11-24,Orlando Magic,,Kyle OQuinn,placed on IL with sprained right ankle,68.0,0.0,regular,2013,13.0,False,ankle,lower leg
2013-11-25,Memphis Grizzlies,,Marc Gasol,placed on IL with sprained MCL in left knee,45.0,0.0,regular,2013,14.0,False,MCL,knee
2013-11-25,Miami Heat,,Mario Chalmers,placed on IL with strained hip flexor,67.0,0.0,regular,2013,14.0,False,hip,upper leg
2013-11-25,Utah Jazz,,Enes Kanter,placed on IL with sprained right ankle,65.0,0.0,regular,2013,16.0,False,ankle,lower leg
2013-11-25,Detroit Pistons,,Peyton Siva,placed on IL,66.0,0.0,regular,2013,14.0,False,roaster move,healthy inactive
2013-11-25,San Antonio Spurs,,Aron Baynes,placed on IL,67.0,0.0,regular,2013,14.0,False,roaster move,healthy inactive
