Date,Team,Relinquished,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category
2013-11-23,Houston Rockets,Greg Smith,sprained right knee (DNP),1.0,0.0,regular,2013,14,,knee,knee
2013-11-23,Orlando Magic,Kyle OQuinn,sprained right ankle (DNP),1.0,0.0,regular,2013,12,,ankle,lower leg
2013-11-23,New York Knicks,Raymond Felton,pinched nerve in left hip (DNP),1.0,0.0,regular,2013,12,,hip,upper leg
2013-11-23,Washington Wizards,Trevor Ariza,strained right hamstring (DNP),1.0,0.0,regular,2013,13,,hamstring,upper leg
2013-11-23,Los Angeles Clippers,Matt Barnes,recovering from surgery on left eye (DNP),1.0,0.0,regular,2013,14,,eye,head
2013-11-23,Boston Celtics,Kelly Olynyk,sprained right ankle (DNP),1.0,0.0,regular,2013,15,,ankle,lower leg
2013-11-23,Boston Celtics,Keith Bogans,illness (DNP),1.0,0.0,regular,2013,15,,sick,sick
2013-11-23,Chicago Bulls,Derrick Rose,torn meniscus in right knee (out for season),1.0,0.0,regular,2013,12,,knee,knee
2013-11-23,Philadelphia 76ers,Tony Wroten,strained lower back (DNP),1.0,0.0,regular,2013,15,,back,torso
2013-11-23,Philadelphia 76ers,Spencer Hawes,sore left knee (DNP),1.0,0.0,regular,2013,15,,knee,knee
2013-11-23,Memphis Grizzlies,Marc Gasol,sprained MCL in left knee (out indefinitely),1.0,0.0,regular,2013,14,,MCL,knee
2013-11-24,Los Angeles Clippers,Matt Barnes,recovering from surgery on left eye (DNP),1.0,0.0,regular,2013,15,,eye,head
2013-11-24,Los Angeles Lakers,Chris Kaman,sore back (DNP),1.0,0.0,regular,2013,14,,back,torso
2013-11-24,Nets,Deron Williams,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-25,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,16,,ankle,lower leg
2013-11-25,Houston Rockets,Ronnie Brewer,strained right calf (DNP),1.0,0.0,regular,2013,15,,calf,lower leg
2013-11-25,Houston Rockets,James Harden,sore left foot (DNP),1.0,0.0,regular,2013,15,,foot,foot
2013-11-25,Houston Rockets,Greg Smith,sprained right knee (DNP),1.0,0.0,regular,2013,15,,knee,knee
2013-11-25,New York Knicks,Raymond Felton,pinched nerve in left hip (DNP),1.0,0.0,regular,2013,13,,hip,upper leg
