Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2019-03-10,Dallas Mavericks,Kostas Antetokounmpo,placed on IL,,,regular,2018.0,66,,roaster move,healthy inactive,,13.0,0.0,False,PF,21.0,2.0,0.0,5.5,0.0,11.0,0.0
2019-03-10,Orlando Magic,Isaiah Briscoe,placed on IL with right knee injury,,,regular,2018.0,68,,knee,knee,,14.0,0.0,False,PG,22.0,39.0,0.0,14.3,0.0,557.7,0.0
2019-03-11,Houston Rockets,Terrence Jones,placed on IL with illness,,,regular,2018.0,67,,sick,sick,,14.0,0.0,False,PF,27.0,2.0,0.0,2.5,257.0,5.0,6126.2
2019-03-11,Charlotte Hornets,Marvin Williams,placed on IL with illness,,,regular,2018.0,67,,sick,sick,,14.0,0.0,False,PF,32.0,75.0,75.0,28.4,459.0,2130.0,12311.2
2019-03-11,Boston Celtics,Jayson Tatum,placed on IL with sore right shoulder,,,regular,2018.0,68,,shoulder,torso,,13.0,0.0,False,SF,20.0,79.0,79.0,31.1,99.0,2456.9,3122.1
2019-03-12,Portland Trailblazers,Rodney Hood,placed on IL with right hip injury,,,,,-1,,hip,upper leg,,,,,Unknown,,,,,,,
2019-03-12,Chicago Bulls,Zach LaVine,placed on IL with right knee injury,,,regular,2018.0,69,,knee,knee,,12.0,0.0,False,SG,23.0,63.0,62.0,34.5,230.0,2173.5,6601.5
2019-03-12,Cleveland Cavaliers,Larry Nance,placed on IL with rib injury,,,regular,2018.0,68,,ribs,torso,,68.0,0.0,False,Unknown,,,,,,,
2019-03-12,Los Angeles Lakers,Lance Stephenson,placed on IL with sprained toe,,,regular,2018.0,67,,toe,foot,,13.0,0.0,False,SG,28.0,68.0,3.0,16.5,439.0,1122.0,11921.9
2019-03-12,Minnesota Timberwolves,Jeff Teague,placed on IL with left foot injury (out for season),,,regular,2018.0,68,,foot,foot,,71.0,0.0,False,PG,30.0,42.0,41.0,30.1,511.0,1264.2,16179.399999999998
2019-03-13,Golden State Warriors,Kevin Durant,placed on IL with sprained right ankle,,,regular,2018.0,67,,ankle,lower leg,,13.0,0.0,False,SF,30.0,78.0,78.0,34.6,475.0,2698.8,17488.100000000002
2019-03-13,Nets,DeMarre Carroll,placed on IL with hyperextended left knee,,,,,-1,,knee,knee,,,,,Unknown,,,,,,,
2019-03-14,Minnesota Timberwolves,Derrick Rose,placed on IL with sore right elbow,,,regular,2018.0,69,,elbow,arm,,12.0,0.0,False,PG,30.0,51.0,13.0,27.3,233.0,1392.3,7012.399999999999
2019-03-14,Denver Nuggets,Torrey Craig,placed on IL with sprained left shoulder,,,regular,2018.0,67,,shoulder,torso,,14.0,0.0,False,SF,28.0,75.0,37.0,20.0,39.0,1500.0,627.9000000000001
2019-03-14,Toronto Raptors,Kyle Lowry,placed on IL with sprained left ankle,,,regular,2018.0,69,,ankle,lower leg,,11.0,0.0,False,PG,32.0,65.0,65.0,34.0,481.0,2210.0,16728.1
2019-03-14,Boston Celtics,Terry Rozier,placed on IL with illness,,,regular,2018.0,69,,sick,sick,,12.0,0.0,False,PG,24.0,79.0,14.0,22.7,234.0,1793.3,4720.9
2019-03-14,Boston Celtics,Daniel Theis,placed on IL with illness,,,regular,2018.0,69,,sick,sick,,12.0,0.0,False,C,26.0,66.0,2.0,13.8,63.0,910.8,938.7
2019-03-15,Detroit Pistons,Sviatoslav Mykhailiuk,placed on IL,,,regular,2018.0,68,,roaster move,healthy inactive,,9.0,0.0,False,Unknown,,,,,,,
