Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2016,16,2016-11-25,@,Utah Jazz,
Atlanta Hawks,2016,17,2016-11-27,@,Los Angeles Lakers,
Atlanta Hawks,2016,18,2016-11-28,@,Golden State Warriors,
Atlanta Hawks,2016,19,2016-11-30,@,Phoenix Suns,
Atlanta Hawks,2016,20,2016-12-02,,Detroit Pistons,
Atlanta Hawks,2016,21,2016-12-03,@,Toronto Raptors,
Atlanta Hawks,2016,22,2016-12-05,,Oklahoma City Thunder,
Atlanta Hawks,2016,23,2016-12-07,,Miami Heat,
Atlanta Hawks,2016,24,2016-12-09,@,Milwaukee Bucks,
Atlanta Hawks,2016,25,2016-12-13,,Orlando Magic,
Atlanta Hawks,2016,26,2016-12-16,@,Toronto Raptors,
Atlanta Hawks,2016,27,2016-12-17,,Charlotte Hornets,
Atlanta Hawks,2016,28,2016-12-19,@,Oklahoma City Thunder,
Atlanta Hawks,2016,29,2016-12-21,,Minnesota Timberwolves,
Atlanta Hawks,2016,30,2016-12-23,@,Denver Nuggets,
Atlanta Hawks,2016,31,2016-12-26,@,Minnesota Timberwolves,
Atlanta Hawks,2016,32,2016-12-28,,New York Knicks,OT
Atlanta Hawks,2016,33,2016-12-30,,Detroit Pistons,
Atlanta Hawks,2016,34,2017-01-01,,San Antonio Spurs,OT
Atlanta Hawks,2016,35,2017-01-04,@,Orlando Magic,
Atlanta Hawks,2016,36,2017-01-05,@,New Orleans Pelicans,
Atlanta Hawks,2016,37,2017-01-07,@,Dallas Mavericks,
Atlanta Hawks,2016,38,2017-01-10,@,Brooklyn Nets,
Atlanta Hawks,2016,39,2017-01-13,,Boston Celtics,
